ACR_ID,Title,Artists,Time,Source_URL,Detail_URL
44e89e9a56da2e0fdb89cb7c808d9ead,Devil Eyes,ZODIVK,2023-09-07 19:22:00,https://www.youtube.com/shorts/oUg61NhWdwE,https://www.aha-music.com/44e89e9a56da2e0fdb89cb7c808d9ead?utm_source=chrome&utm_medium=extension
b95409fa52336ea9d573508d6b85d040,LOOK DON’T TOUCH,Odetari/cade clair,2023-09-07 16:41:59,https://www.youtube.com/shorts/dWyNeUcVbrc,https://www.aha-music.com/b95409fa52336ea9d573508d6b85d040?utm_source=chrome&utm_medium=extension
b15e5e39c14b372bf3ea0b6b31146ed3,Barbie & Ken,"Scene Queen, Set It Off",2023-09-07 16:40:13,https://www.youtube.com/shorts/9GgEgUdwLg0,https://www.aha-music.com/b15e5e39c14b372bf3ea0b6b31146ed3?utm_source=chrome&utm_medium=extension
725c2257ab13204aecb1a202ffe68b1f,BRAZILIAN DANÇA PHONK,6YNTHMANE/RXDXVIL,2023-09-07 16:37:53,https://www.youtube.com/shorts/oATruA-6ue0,https://www.aha-music.com/725c2257ab13204aecb1a202ffe68b1f?utm_source=chrome&utm_medium=extension
96275aa449a5d25c70c2db3120950ce4,FAZBEAR PHONK,IMORTA1NA/MC Nato,2023-09-07 16:36:25,https://www.youtube.com/shorts/CZiUSF0SO0M,https://www.aha-music.com/96275aa449a5d25c70c2db3120950ce4?utm_source=chrome&utm_medium=extension
2f376ff1b62f83f1533a5171754f7216,HALLOWEEN,BUSHIDO ZHO,2023-09-07 16:31:34,https://www.youtube.com/shorts/4s3ik9_JCpY,https://www.aha-music.com/2f376ff1b62f83f1533a5171754f7216?utm_source=chrome&utm_medium=extension
d305518e6a189637569894455e3ffd2d,Remember The Rain,Various Artists,2023-09-07 14:23:21,https://www.youtube.com/watch?v=8gk5acdsUQA,https://www.aha-music.com/d305518e6a189637569894455e3ffd2d?utm_source=chrome&utm_medium=extension
a0119c7542398748f6af85ab8121ea1d,I LOVE YOU HOE,Odetari/9lives,2023-09-07 14:20:42,https://www.youtube.com/shorts/ihqZIhX0CZw,https://www.aha-music.com/a0119c7542398748f6af85ab8121ea1d?utm_source=chrome&utm_medium=extension
9d07a660d2f6b73ef20ed2111bc94de7,Fluxxwave,Clovis Reyes,2023-09-07 00:03:24,https://www.youtube.com/watch?v=m2RniGEEsbQ,https://www.aha-music.com/9d07a660d2f6b73ef20ed2111bc94de7?utm_source=chrome&utm_medium=extension
d723935978f7b172f16ba9a60c54175b,National Anthem,Lana Del Rey,2023-09-01 01:39:54,https://www.youtube.com/shorts/VmvWG5R0WH4,https://www.aha-music.com/d723935978f7b172f16ba9a60c54175b?utm_source=chrome&utm_medium=extension
48585cc4fbf820f7ebf6b6be99e3698b,RITMADINHA DANÇANTE,DJ GUDOG,2023-08-31 20:18:05,https://www.youtube.com/shorts/UzKGtnUef_Q,https://www.aha-music.com/48585cc4fbf820f7ebf6b6be99e3698b?utm_source=chrome&utm_medium=extension
b2695ab1bb8c044a0056656cc3ab4150,THE AUTOTREM 1.0 (EDIT by DJ ZK3),DJ RICK 013,2023-08-31 20:17:13,https://www.youtube.com/shorts/-4Z-0LUgxhI,https://www.aha-music.com/b2695ab1bb8c044a0056656cc3ab4150?utm_source=chrome&utm_medium=extension
769d4466938e947bba5c9e8aa5be514d,Go (Xtayalive 2),Kanii/9lives,2023-08-31 20:04:13,https://www.youtube.com/shorts/vEHNHtYcntA,https://www.aha-music.com/769d4466938e947bba5c9e8aa5be514d?utm_source=chrome&utm_medium=extension
8b7db5ee4d1a9ff6eb0f1a587cd57cf6,Automotivo Blindado,DJ Rossini ZS/DJ MENOR DA Z.O/MC Zudo Boladão/MC LUIS DO GRAU,2023-08-31 19:59:06,https://www.youtube.com/shorts/LUc_B7QptrI,https://www.aha-music.com/8b7db5ee4d1a9ff6eb0f1a587cd57cf6?utm_source=chrome&utm_medium=extension
b78c2fbb3644a9140d5ff4e624ed9fc6,Back That Up To The Beat (demo version),Madonna,2023-08-30 12:50:44,https://www.youtube.com/shorts/ervycw8oE3k,https://www.aha-music.com/b78c2fbb3644a9140d5ff4e624ed9fc6?utm_source=chrome&utm_medium=extension
58a4c494653e00416704777f00fcdd94,Portuginies,iShowSpeed,2023-08-30 12:25:23,https://www.youtube.com/shorts/3p_vNXBHIEM,https://www.aha-music.com/58a4c494653e00416704777f00fcdd94?utm_source=chrome&utm_medium=extension
